cliente,vendedor,unidade,mes,produto,status,marca,tipo_pagamento,tipo_frete,prazo,valor_total
Ana Leão,Rael Camargo,Jesus,2024-10,Produto Orgânico Extra 10kg,Entregue,BioVida,Crédito Rural,CIF,de 31 à 60,"8289,461"
Sr. Benjamim Montenegro,Ágatha Ramos,Santos,2024-11,Adubo Orgânico 25kg,Entregue,AgroPlus,Prazo,CIF,até 30,"7874,488"
Beatriz Andrade,Leandro Rios,da Costa de Caldeira,2024-11,Farinha Orgânico 25kg,Entregue,SkyMarket,Prazo,FOB,até 30,"2604,206"
Luiz Otávio da Cruz,Sophia Santos,Nascimento,2024-11,Suplemento Refinado 25kg,Entregue,BlueFarm,Prazo,FOB,até 30,"2469,215"
Mirella Casa Grande,Yasmin Pinto,Câmara,2024-11,Semente Especial 1L,Entregue,BlueFarm,Prazo,FOB,de 121 à 180,"5322,779"
Olivia Camargo,Isabela Fonseca,Nogueira dos Dourados,2024-11,Inseticida Orgânico 20kg,Entregue,EcoLine,Prazo,CIF,até 30,"2866,589"
Letícia Borges,Ana Moreira,da Costa da Praia,2024-11,Ração Refinado 20kg,Entregue,EcoLine,Prazo,CIF,de 61 à 120,"13039,778"
Srta. Mirella das Neves,Fernanda Pinto,Marques,2024-10,Ração Especial 500g,Entregue,PrimeFood,Prazo,CIF,de 31 à 60,"6299,591"
Maya Garcia,Carolina Rocha,Duarte do Norte,2024-10,Açúcar Integral 20kg,Entregue,SkyMarket,Prazo,CIF,de 31 à 60,"1640,893"
Helena Rocha,Théo Duarte,Camargo de Mendonça,2024-11,Milho Select 5L,Entregue,TerraForte,Prazo,CIF,de 31 à 60,"36543,636"
Arthur Albuquerque,Sr. José Pedro Azevedo,Machado da Mata,2024-11,Soja Premium 250ml,Entregue,VittaMais,Prazo,CIF,de 121 à 180,"42357,248"
Gustavo Sampaio,Kevin Costa,da Cruz,2024-11,Arroz Natural 25kg,Entregue,TerraForte,Prazo,CIF,mais que 180,"7323,274"
Arthur Miguel Dias,Nicolas da Paz,Costela da Praia,2025-01,Semente Fortificado 1kg,Aprovado,NovaTech,,,,"0,15"
João Guilherme da Conceição,Marcos Vinicius Nascimento,Souza,2025-01,Milho Fortificado 20kg,Aprovado,PrimeFood,,,,"0,02"
Sofia Barbosa,Yuri Câmara,Monteiro,2025-01,Fertilizante Extra 500g,Aprovado,BioVida,,,,"0,159"
Breno Abreu,Dr. Vinícius Borges,Pastor de Andrade,2024-11,Arroz Premium 250ml,Entregue,EcoLine,Prazo,FOB,de 121 à 180,"581,212"
Mateus Lima,Maria Laura da Rocha,Teixeira,2024-11,Soja Especial 1kg,Entregue,BioVida,Prazo,FOB,de 121 à 180,"2748,571"
Luiz Gustavo Farias,Dante Gomes,Dias de Minas,2024-11,Inseticida Especial 25kg,Entregue,EcoLine,Prazo,CIF,até 30,"7349,523"
Otávio da Mata,Lucca Sousa,Macedo do Norte,2024-11,Herbicida Refinado 1L,Entregue,BioVida,Prazo,CIF,até 30,"11265,768"
Pedro Henrique Rezende,Isabel Gonçalves,Azevedo,2024-11,Adubo Natural 20kg,Entregue,BlueFarm,Prazo,CIF,mais que 180,"2502,962"
Aylla Gomes,Joana da Costa,Abreu,2024-11,Semente Orgânico 250ml,Entregue,PrimeFood,Prazo,FOB,de 121 à 180,"66183,2"
Carlos Eduardo Moreira,Leonardo Silveira,Borges das Flores,2024-11,Herbicida Extra 20kg,Entregue,NovaTech,Prazo,FOB,de 31 à 60,"3732,048"
Dr. Juan Freitas,Yuri Mendes,Rodrigues,2024-11,Soja Refinado 1L,Entregue,AgroPlus,Prazo,CIF,mais que 180,"7836,991"
Gabriela Ribeiro,Mariah Lima,da Mata,2024-11,Inseticida Premium 1kg,Entregue,SmartAgro,Prazo,FOB,mais que 180,"36466,381"
João Pedro Sales,Sra. Joana Pinto,Moreira da Mata,2024-11,Açúcar Orgânico 1kg,Entregue,EcoLine,Prazo,FOB,de 121 à 180,"16138,014"
Amanda Peixoto,Dr. Rafael Mendes,Ferreira do Galho,2024-11,Inseticida Natural 25kg,Entregue,TerraForte,Crédito Rural,FOB,de 31 à 60,"12091,277"
Apollo Ribeiro,Pietra Pastor,da Luz,2024-11,Produto Orgânico Especial 25kg,Entregue,SmartAgro,Prazo,CIF,mais que 180,"1247,544"
Maria Isis da Cunha,Mateus Farias,Novais Verde,2024-11,Soja Refinado 10kg,Entregue,VittaMais,Prazo,CIF,de 31 à 60,"42863,465"
Aylla Leão,Ágatha Gomes,Aragão do Galho,2024-11,Óleo Vegetal Tradicional 10kg,Entregue,NovaTech,Prazo,CIF,de 31 à 60,"7981,356"
Laura Sales,Noah Almeida,Moraes Alegre,2024-11,Adubo Natural 1L,Entregue,SkyMarket,Prazo,CIF,de 31 à 60,"6057,731"
Maria Eduarda da Rosa,Sra. Ágatha Santos,Carvalho,2025-01,Suplemento Refinado 500g,Entregue,AgroPlus,Prazo,CIF,mais que 180,"3603,891"
Larissa Casa Grande,Luara Albuquerque,Viana Verde,2024-11,Suplemento Extra 20kg,Entregue,NovaTech,Prazo,CIF,de 121 à 180,"4672,196"
Ísis Cirino,Isabelly Novais,Vargas,2024-11,Suplemento Orgânico 250ml,Entregue,BioVida,Prazo,CIF,de 31 à 60,"13049,152"
Ayla Rocha,Sra. Aylla Pimenta,da Costa,2024-11,Inseticida Natural 1kg,Entregue,EcoLine,Prazo,CIF,de 31 à 60,"5304,405"
Isabella Alves,Antony Rezende,Vasconcelos Paulista,2024-11,Farinha Refinado 250ml,Entregue,VittaMais,Prazo,CIF,de 61 à 120,"24804,638"
Bella Fonseca,Dr. Anthony Gabriel da Luz,Duarte,2025-01,Produto Orgânico Natural 250ml,Aprovado,BioVida,,,,"33,185"
João Miguel Cassiano,Sra. Olivia Farias,Lopes de da Mata,2025-01,Fertilizante Tradicional 25kg,Aprovado,SmartAgro,,,,"0,18"
Kevin Azevedo,Dra. Melissa Abreu,Almeida,2025-01,Ração Premium 1kg,Aprovado,AgroPlus,,,,"0,447"
Renan Moreira,Sr. Benjamin Aragão,Silveira de Goiás,2025-01,Produto Orgânico Premium 20kg,Aprovado,AgroPlus,,,,"1,192"
Dr. João Lucas Montenegro,Léo Vasconcelos,Araújo,2025-01,Arroz Select 25kg,Aprovado,BlueFarm,,,,"0,463"
Dr. Vinicius Sales,Hellena Câmara,Montenegro,2025-01,Açúcar Premium 20kg,Aprovado,TerraForte,,,,"414,723"
Sr. João Gabriel Melo,Caio Câmara,Barros,2024-10,Suplemento Select 250ml,A Entregar,SmartAgro,Prazo,CIF,de 31 à 60,"4499,708"
Manuela Mendes,Dr. Ravi Lucca Santos,da Rosa do Sul,2024-10,Soja Integral 250ml,A Entregar,SkyMarket,Prazo,CIF,de 31 à 60,"2681,076"
Maria Luiza Câmara,Mariana da Mata,Silveira,2024-10,Ração Refinado 20kg,Entregue,VittaMais,Crédito Rural,CIF,de 31 à 60,"7745,122"
Ian Guerra,Mateus Machado,Sá do Oeste,2024-10,Arroz Fortificado 1L,Entregue,BioVida,Prazo,CIF,mais que 180,"7986,981"
Camila Azevedo,Ísis Dias,Barros Paulista,2024-10,Fertilizante Integral 1kg,Entregue,NovaTech,Prazo,CIF,mais que 180,"7986,981"
Maria Julia Sá,Dr. Nicolas Casa Grande,Brito,2024-10,Arroz Premium 500g,Entregue,BlueFarm,Prazo,CIF,mais que 180,"15119,018"
Caio Novais,Srta. Ana Clara Porto,Novaes,2024-10,Açúcar Premium 10kg,Entregue,TerraForte,Prazo,CIF,mais que 180,"162445,071"
Pietro Rocha,Antonella Nascimento,Marques,2024-10,Feijão Natural 1kg,Entregue,PrimeFood,Prazo,CIF,mais que 180,"75206,051"
Srta. Isabel da Paz,Yasmin Costa,Macedo,2025-04,Semente Extra 250ml,Entregue,BlueFarm,Prazo,CIF,mais que 180,"93743,909"
Emanuella da Paz,Maria Julia Cavalcanti,da Cruz das Flores,2024-11,Semente Fortificado 1L,Entregue,PrimeFood,Prazo,FOB,de 121 à 180,"5322,779"
Manuela Barros,Benjamim Carvalho,Vasconcelos de Novais,2024-10,Açúcar Integral 500g,Entregue,PrimeFood,Crédito Rural,CIF,de 31 à 60,"18371,931"
Letícia Pacheco,Maria Vitória Costela,Monteiro,2024-10,Feijão Especial 10kg,Entregue,BlueFarm,Prazo,CIF,mais que 180,"3882,99"
Alana Alves,Pedro Lucas Fonseca,Nunes,2024-10,Óleo Vegetal Extra 20kg,Entregue,VittaMais,Prazo,CIF,mais que 180,"1324,756"
Sr. Benjamim Lima,Jade Caldeira,Moreira do Sul,2024-11,Fertilizante Refinado 500g,Entregue,SmartAgro,Prazo,CIF,até 30,"2586,769"
Benjamim Rezende,Rafael Monteiro,Correia Paulista,2024-11,Produto Orgânico Natural 10kg,Entregue,TerraForte,Prazo,FOB,mais que 180,"1874,878"
Dr. Carlos Eduardo da Rocha,Clara Azevedo,Siqueira da Praia,2024-11,Óleo Vegetal Tradicional 10kg,Entregue,TerraForte,Prazo,CIF,mais que 180,"32482,265"
Vitor Hugo Fonseca,Catarina Martins,Camargo de da Mata,2024-10,Ração Extra 1L,Entregue,VittaMais,Prazo,CIF,de 121 à 180,"9213,151"
Maitê das Neves,Hadassa Mendes,Moura de Goiás,2024-10,Açúcar Integral 25kg,Entregue,BlueFarm,Prazo,CIF,de 31 à 60,"13920,971"
Ana Julia Andrade,Murilo Cunha,da Luz,2024-11,Suplemento Select 5L,Entregue,NovaTech,Prazo,CIF,de 121 à 180,"3846,463"
Melina Souza,Davi Miguel da Rosa,Moreira de Cirino,2025-05,Soja Refinado 20kg,Entregue,SkyMarket,Prazo,CIF,de 61 à 120,"10146,653"
Rafael Vargas,Marina Costa,da Mota da Prata,2024-11,Feijão Integral 1kg,Entregue,EcoLine,Prazo,CIF,de 121 à 180,"3641,951"
Danilo da Luz,Nicolas da Mota,Viana do Campo,2024-11,Soja Fortificado 250ml,Entregue,VittaMais,Prazo,CIF,mais que 180,"9899,357"
Maya Silva,Sra. Maria Helena Almeida,Gonçalves,2024-11,Produto Orgânico Refinado 5L,Entregue,AgroPlus,Prazo,CIF,até 30,"3795,503"
Zoe Sampaio,Maria Helena Cavalcante,Fonseca,2024-11,Arroz Orgânico 10kg,Entregue,AgroPlus,Pagamento à vista,CIF,até 30,"1796,133"
Mateus Castro,Sr. Gael Henrique Montenegro,Fernandes,2024-11,Feijão Orgânico 500g,Entregue,NovaTech,Prazo,CIF,de 31 à 60,"3537,548"
Marina Novaes,Sofia Cavalcanti,Campos,2024-11,Produto Orgânico Extra 250ml,Entregue,AgroPlus,Prazo,CIF,mais que 180,"87181,836"
Benjamim Castro,Daniela Araújo,Teixeira da Mata,2024-11,Suplemento Especial 20kg,Entregue,EcoLine,Prazo,FOB,de 31 à 60,"11024,284"
Dra. Maria Luiza da Cunha,Olívia Mendes,Barbosa Alegre,2024-11,Feijão Orgânico 1L,Entregue,SmartAgro,Prazo,FOB,mais que 180,"70442,923"
Sra. Maria Vitória Pimenta,Maria Sophia da Paz,da Cunha,2024-11,Feijão Extra 10kg,Entregue,BioVida,Prazo,CIF,de 31 à 60,"4724,693"
Marcela Costa,Anna Liz Rodrigues,Fernandes,2024-11,Ração Especial 20kg,Entregue,PrimeFood,Prazo,CIF,de 31 à 60,"4799,688"
Manuela Carvalho,Gael Nogueira,Silva do Sul,2024-11,Café Refinado 10kg,Entregue,TerraForte,Pagamento à vista,CIF,até 30,"4173,479"
Ana Luiza Abreu,Sr. João Lucas Campos,Porto de Ribeiro,2024-11,Arroz Fortificado 1kg,Entregue,BioVida,Prazo,CIF,de 31 à 60,"8549,913"
Sra. Stephany da Cruz,Bianca Campos,Aparecida da Mata,2024-11,Óleo Vegetal Premium 500g,Entregue,SkyMarket,Prazo,CIF,até 30,"17927,585"
Henry Gabriel Moraes,Vitor Gabriel Leão,Cunha,2024-11,Milho Fortificado 20kg,Entregue,EcoLine,Prazo,FOB,de 121 à 180,"16138,014"
Emanuelly da Luz,Gustavo Fogaça,Ramos,2024-11,Ração Fortificado 1L,Entregue,AgroPlus,Prazo,CIF,de 31 à 60,"15793,974"
Dr. Francisco da Mota,Eloah Vieira,Siqueira de da Luz,2024-11,Milho Orgânico 25kg,Entregue,EcoLine,Prazo,CIF,de 31 à 60,"2429,842"
Dr. Antony Pastor,Srta. Valentina Pacheco,Andrade,2024-11,Produto Orgânico Orgânico 1L,Entregue,TerraForte,Pagamento parcelado,CIF,mais que 180,"11999,22"
Dra. Amanda Pereira,Ana Vitória Abreu,da Luz de Vasconcelos,2024-11,Suplemento Premium 20kg,Entregue,BlueFarm,Prazo,CIF,de 61 à 120,"1571,617"
Jade Correia,Dra. Ana Julia Andrade,Aragão Paulista,2024-11,Farinha Integral 250ml,Entregue,BlueFarm,Prazo,CIF,de 61 à 120,"2336,098"
Beatriz Duarte,Dra. Rafaela Pires,Leão,2024-11,Feijão Refinado 25kg,Entregue,SmartAgro,Prazo,CIF,de 31 à 60,"6398,022"
Sr. Noah da Cunha,Valentim Melo,Souza de Ferreira,2024-11,Semente Fortificado 5L,Entregue,SmartAgro,Prazo,CIF,de 31 à 60,"3795,503"
Eloá Aragão,Dr. Vitor Gabriel da Rocha,da Rocha Alegre,2024-11,Óleo Vegetal Select 20kg,Entregue,VittaMais,Prazo,CIF,até 30,"4023,864"
Davi Luiz Siqueira,Sr. Vinícius Carvalho,Andrade de Lopes,2024-11,Soja Especial 5L,Entregue,PrimeFood,Prazo,CIF,de 31 à 60,"19106,884"
Igor Barros,Rhavi Moraes,Mendes,2024-11,Feijão Especial 500g,Entregue,AgroPlus,Prazo,CIF,de 31 à 60,"13386,63"
Fernanda Lima,Davi Luiz Farias,Campos de Minas,2024-11,Óleo Vegetal Especial 1kg,Entregue,VittaMais,Prazo,CIF,até 30,"2407,344"
Ana Cecília da Conceição,Diego Alves,Andrade da Praia,2024-11,Açúcar Orgânico 250ml,Entregue,BlueFarm,Prazo,CIF,de 31 à 60,"6693,315"
Alícia Araújo,Diogo Gonçalves,Costela,2024-11,Óleo Vegetal Natural 1kg,Entregue,NovaTech,Prazo,CIF,mais que 180,"2472,478"
Nina da Cruz,Alana da Rocha,Barbosa,2024-11,Café Extra 5L,Entregue,VittaMais,Prazo,CIF,até 30,"4405,964"
Caroline Gonçalves,Sra. Kamilly Albuquerque,Cunha de Cunha,2024-11,Herbicida Extra 1kg,Entregue,PrimeFood,Prazo,CIF,até 30,"71714,091"
Ana Vitória Fernandes,Ana Cecília Costa,Siqueira,2024-11,Milho Natural 250ml,Entregue,TerraForte,Prazo,CIF,até 30,"61870,98"
Antony da Luz,Rael Barros,Machado,2024-11,Feijão Fortificado 10kg,Entregue,BioVida,Prazo,CIF,de 31 à 60,"19027,014"
Natália Pastor,Evelyn Machado,Cavalcanti,2024-11,Fertilizante Refinado 20kg,Entregue,EcoLine,Prazo,CIF,de 31 à 60,"26426,408"
Stella Pastor,Lucas Freitas,Borges das Pedras,2024-11,Farinha Refinado 5L,Entregue,SmartAgro,Prazo,CIF,até 30,"7139,536"
Eloah Cirino,Lucas Rocha,Monteiro,2024-11,Fertilizante Refinado 1L,Entregue,PrimeFood,Pagamento à vista,CIF,até 30,"9854,36"
Pedro Almeida,Augusto Jesus,Costa do Campo,2024-11,Milho Extra 20kg,Entregue,NovaTech,Pagamento parcelado,CIF,mais que 180,"3412,278"
Igor Marques,Allana Nascimento,Cirino,2025-02,Ração Especial 1kg,Entregue,AgroPlus,Prazo,CIF,até 30,"8605,691"
Srta. Marcela Vieira,Stella Siqueira,Rodrigues da Prata,2024-10,Soja Especial 500g,Entregue,SmartAgro,Pagamento parcelado,CIF,mais que 180,"15693,698"
Igor Moreira,Juan da Paz,Garcia,2024-11,Milho Refinado 5L,Entregue,NovaTech,Prazo,CIF,até 30,"5155,915"
Ryan Novaes,Marcela Aparecida,Rocha,2025-02,Açúcar Natural 500g,Aprovado,BioVida,,,,"0,131"
Maria Cecília Pastor,Zoe Peixoto,Correia,2025-02,Ração Especial 20kg,Aprovado,BioVida,,,,"0,082"
Juan Machado,Heloísa da Rosa,Cunha,2025-02,Farinha Natural 250ml,Aprovado,PrimeFood,,,,"0,071"
Dr. Josué Cassiano,Maria Eduarda Campos,Silveira,2025-02,Açúcar Fortificado 20kg,Aprovado,VittaMais,,,,"0,075"
Anthony Dias,Brayan Rocha,Aparecida,2025-02,Arroz Orgânico 1L,Aprovado,TerraForte,,,,"0,052"
Davi Miguel Moreira,Nicolas Araújo,Pinto do Galho,2024-10,Semente Fortificado 10kg,Entregue,BlueFarm,Prazo,CIF,até 30,"3517,271"
Leonardo Leão,Dr. Enzo da Cruz,Câmara,2024-10,Milho Premium 250ml,Entregue,EcoLine,Pagamento parcelado,CIF,mais que 180,"3628,827"
Enzo Farias,Dra. Isadora Andrade,Jesus da Mata,2024-10,Adubo Premium 20kg,Entregue,TerraForte,Prazo,CIF,até 30,"20509,667"
Isabela Ferreira,Dra. Cecilia da Cunha,Porto,2024-10,Soja Premium 1kg,Entregue,TerraForte,Prazo,FOB,de 31 à 60,"7943,859"
Melina Ferreira,Gael Henrique Moura,Mendonça,2025-02,Produto Orgânico Natural 250ml,Aprovado,AgroPlus,,,,"0,098"
Oliver Fonseca,Cauã Vasconcelos,Moraes,2025-02,Milho Tradicional 250ml,Aprovado,PrimeFood,,,,"0,397"
Sr. Miguel Nascimento,Arthur Gabriel da Cruz,Lima,2025-02,Herbicida Premium 25kg,Aprovado,BioVida,,,,"0,637"
Luna Campos,Gael Ramos,Carvalho,2025-02,Arroz Especial 500g,Aprovado,TerraForte,,,,"103,681"
Benício Marques,Daniela Andrade,Mendes,2025-01,Café Natural 500g,Entregue,SkyMarket,Prazo,FOB,de 31 à 60,"3274,1"
Felipe Vasconcelos,Clarice da Rocha,Peixoto,2024-11,Farinha Integral 1kg,Entregue,BioVida,Prazo,CIF,até 30,"12959,158"
Guilherme Campos,Ester Vargas,da Mota de Santos,2024-11,Arroz Natural 1L,Entregue,PrimeFood,Prazo,CIF,de 31 à 60,"30724,566"
Stella Borges,Lavínia Montenegro,Mendonça de Goiás,2024-11,Milho Select 25kg,Entregue,PrimeFood,Prazo,CIF,mais que 180,"43197,193"
Bruna Costela,Lorenzo Silva,Macedo,2024-10,Produto Orgânico Natural 250ml,Entregue,BioVida,Prazo,CIF,de 31 à 60,"3880,998"
Brenda Mendonça,Anthony Pimenta,Ribeiro do Campo,2025-01,Farinha Refinado 10kg,Entregue,SkyMarket,Barter,CIF,mais que 180,"14226,529"
Sra. Helena Santos,Ana Beatriz Cirino,Sampaio das Flores,2024-10,Produto Orgânico Premium 5L,Entregue,SmartAgro,Prazo,CIF,de 61 à 120,"9035,413"
Sarah Costela,Breno Mendonça,Gonçalves das Flores,2024-10,Semente Premium 1L,Entregue,AgroPlus,Prazo,FOB,mais que 180,"2455,715"
Lucas Guerra,Dr. Caio Andrade,Nogueira,2024-10,Fertilizante Integral 20kg,Entregue,SkyMarket,Prazo,CIF,de 31 à 60,"5945,707"
Dante Pastor,Clara Rios,Camargo Paulista,2024-10,Inseticida Premium 25kg,Entregue,SmartAgro,Prazo,CIF,de 31 à 60,"13920,971"
José Pedro Duarte,Maria Alice Guerra,Gomes,2024-11,Arroz Extra 1L,Entregue,AgroPlus,Prazo,CIF,até 30,"3169,482"
Vicente Vasconcelos,Alexia Castro,Oliveira do Sul,2024-11,Inseticida Especial 20kg,Entregue,BlueFarm,Crédito Rural,CIF,de 31 à 60,"3554,019"
Thales Nascimento,Bella Abreu,Costa,2024-11,Ração Natural 1kg,Entregue,VittaMais,Prazo,CIF,até 30,"12959,158"
Maria Cecília Macedo,Maria Júlia Cassiano,Brito,2024-11,Suplemento Orgânico 1kg,Entregue,SkyMarket,Prazo,CIF,até 30,"12959,158"
Bernardo da Cruz,Eloá da Mata,Pereira da Mata,2025-03,Suplemento Premium 1L,Entregue,TerraForte,Prazo,CIF,mais que 180,"6862,054"
Nina Leão,Ana Lívia Oliveira,Azevedo,2025-02,Óleo Vegetal Integral 25kg,Entregue,AgroPlus,Prazo,CIF,mais que 180,"17350,873"
Liam Lima,Dr. Carlos Eduardo da Paz,Costela,2025-04,Café Integral 250ml,Entregue,EcoLine,Prazo,CIF,de 31 à 60,"25918,316"
Nicolas Lopes,Agatha Costela,Camargo Alegre,2024-11,Milho Extra 10kg,Entregue,SmartAgro,Prazo,FOB,de 31 à 60,"11024,284"
Antony Moura,Luna da Costa,Pinto,2024-11,Café Refinado 10kg,Entregue,EcoLine,Prazo,CIF,de 61 à 120,"3143,233"
Laís Carvalho,Amanda Sá,Araújo de Goiás,2024-11,Suplemento Integral 25kg,Entregue,BioVida,Prazo,CIF,até 30,"18581,918"
Dr. Paulo Correia,Eloah Almeida,Marques de Moraes,2024-11,Inseticida Premium 500g,Entregue,BioVida,Prazo,FOB,de 121 à 180,"5238,41"
Arthur Miguel Leão,Vitor Hugo Cassiano,da Mota da Praia,2024-11,Semente Extra 500g,Entregue,BlueFarm,Prazo,CIF,mais que 180,"31722,939"
Luan Sá,Lucas Gabriel Montenegro,da Luz Grande,2024-11,Semente Select 20kg,Entregue,SkyMarket,Prazo,FOB,de 121 à 180,"5476,519"
Olivia da Cruz,Bella Pereira,Novais,2024-11,Fertilizante Fortificado 1L,Entregue,EcoLine,Prazo,CIF,até 30,"1706,139"
Sarah Lopes,Sr. Vicente Silva,Sampaio,2024-11,Café Integral 25kg,Entregue,BioVida,Prazo,CIF,de 31 à 60,"3880,998"
Josué Rezende,Guilherme Fonseca,da Paz do Sul,2024-11,Farinha Premium 250ml,Entregue,SmartAgro,Prazo,CIF,de 31 à 60,"13777,542"
Sr. Noah Melo,Enzo Gabriel Dias,Machado dos Dourados,2024-11,Farinha Premium 1kg,Entregue,BioVida,Prazo,FOB,mais que 180,"3769,255"
Sr. Thiago da Rocha,Sabrina Caldeira,da Cunha da Mata,2024-11,Soja Premium 250ml,Entregue,VittaMais,Prazo,CIF,até 30,"3924,12"
Luan Macedo,Igor Duarte,Gomes,2024-11,Café Integral 10kg,Entregue,BlueFarm,Prazo,CIF,de 31 à 60,"10096,219"
Natália Moraes,Ana Carolina Nascimento,Caldeira da Praia,2024-11,Soja Refinado 250ml,Entregue,VittaMais,Prazo,FOB,mais que 180,"7388,895"
Ágatha das Neves,Ana Lívia Brito,Ferreira da Praia,2024-11,Café Extra 10kg,Entregue,BioVida,Prazo,CIF,de 31 à 60,"5737,127"
Sr. Ravi Fogaça,Esther Porto,Rios,2024-11,Café Tradicional 20kg,Entregue,BioVida,Prazo,CIF,de 31 à 60,"3795,503"
